SOLO 10 SCRYPT	Scrypt	eu-01.miningrigrentals.com	50354  bestsolomining.372976 x 
BEST SOLO 16	RandomXmonero	us-west01.miningrigrentals.com	3333  bestsolomining.371850 x 
BA TRI 19	Scrypt	us-west01.miningrigrentals.com	51104  batri.366915 x 
BEST SOLO 10	RandomXmonero	eu-de01.miningrigrentals.com	3333  bestsolomining.371647 x 
BA TRI 15	RandomXmonero	eu-01.miningrigrentals.com	3333  batri.325183 x 
BEST SOLO 01	KAWPOW	eu-de01.miningrigrentals.com	50859  bestsolomining.369307 x 
BEST SOLO 05	KAWPOW	eu-01.miningrigrentals.com	50856  bestsolomining.369789 x 
SOLO 02 RANDOMX	RandomXmonero	eu-ru01.miningrigrentals.com	3333  bestsolomining.369314 x 
best02	KAWPOW	us-west01.miningrigrentals.com	51693  bestsolomining.369325 x 
BEST SOLO 01	Equihash	us-west01.miningrigrentals.com	51646  bestsolomining.372494 x 
BA TRI 35	RandomXmonero	us-west01.miningrigrentals.com	3333  batri.367706 x 
BA TRI 02	Scrypt	us-west01.miningrigrentals.com	50034  batri.336435 x 
BEST SOLO 03	KAWPOW	us-west01.miningrigrentals.com	50848  bestsolomining.369681 x 
BEST SOLO 05	Scrypt	eu-01.miningrigrentals.com	51976  bestsolomining.370372 x 
BA TRI 01	SHA256	us-west01.miningrigrentals.com	51653  batri.363908 x 
BEST SOLO 04	Equihash	us-west01.miningrigrentals.com	50681  bestsolomining.372495 x 
BEST SOLO 09	RandomXmonero	us-west01.miningrigrentals.com	3333  bestsolomining.371649 x 
BA TRI 09	SHA256AsicBoost	us-west01.miningrigrentals.com	52052  batri.355571 x 
BA TRI 01	Equihash	us-west01.miningrigrentals.com	50651  batri.336474 x 
BA TRI 05	KAWPOW	us-west01.miningrigrentals.com	51291  batri.318345 x 
BEST SOLO 03	Equihash	us-west01.miningrigrentals.com	50295  bestsolomining.372496 x 
BA TRI 23	RandomXmonero	us-west01.miningrigrentals.com	3333  batri.361979 x 
BA TRI 40	RandomXmonero	us-west01.miningrigrentals.com	3333  batri.368308 x 
BA TRI 36	RandomXmonero	us-west01.miningrigrentals.com	3333  batri.367701 x 
RUN 05	SHA256	us-west01.miningrigrentals.com	50744  batri.317781 x 
BA TRI 27	SHA256AsicBoost	us-west01.miningrigrentals.com	51532  batri.355856 x 
BA TRI 02	SHA256	us-west01.miningrigrentals.com	51572  batri.363906 x 
